email, senha
0.17248326930713387@mail.comu,ser123           
0.7450106798703684@mail.com,user123            
0.2702249564881545@mail.com,user123            
0.31728694639710836@mail.com,user123           
0.20657959256435515@mail.com,user123           
0.8857121634963167@mail.com,user123            
0.7294401468878865@mail.com,user123            
0.6559566778141003@mail.com,user123            
0.21007470973339565@mail.com,user123           
0.06121312620643507@mail.com,user123           
0.18652777338177576@mail.com,user123          
